"EXTF";700;21;"Buchungsstapel";12;20260812090000000;;"RE";"";"";12345;67890;20250101;4;20250101;20251231;"Demo 2025";"MF";1;0;0;"EUR";;"";;;"";;"";;""
"Umsatz (ohne Soll/Haben-Kz)";"Soll/Haben-Kennzeichen";"WKZ Umsatz";"Kurs";"Basis-Umsatz";"WKZ Basis-Umsatz";"Konto";"Gegenkonto (ohne BU-Schl¸ssel)";"BU-Schl¸ssel";"Belegdatum";"Belegfeld 1";"Belegfeld 2";"Skonto";"Buchungstext";"KOST1-Kostenstelle";"KOST2-Kostenstelle"
2000,00;"S";"EUR";;;;1000;9000;"";101;"";"";;"EB Kasse";"";""
45000,00;"S";"EUR";;;;1200;9000;"";101;"";"";;"EB Bank";"";""
18000,00;"S";"EUR";;;;320;9000;"";101;"";"";;"EB Pkw";"";""
80000,00;"S";"EUR";;;;65;9000;"";101;"";"";;"EB Grundst¸ck";"";""
3570,00;"S";"EUR";;;;10001;9000;"";101;"";"";;"EB Forderung Alpha";"";""
1200,00;"S";"EUR";;;;980;9000;"";101;"";"";;"EB aktive Rechnungsabgrenzung";"";""
5950,00;"S";"EUR";;;;9000;70001;"";101;"";"";;"EB Verbindlichkeit Delta";"";""
5000,00;"S";"EUR";;;;9000;970;"";101;"";"";;"EB Sonstige R¸ckstellungen";"";""
300,00;"S";"EUR";;;;9000;4210;"";101;"";"";;"EB-‹bernahme fehlerhaft";"";""
25000,00;"S";"EUR";;;;9000;800;"";101;"";"";;"EB Gezeichnetes Kapital";"";""
30000,00;"S";"EUR";;;;9000;840;"";101;"";"";;"EB Kapitalr¸cklage";"";""
82520,00;"S";"EUR";;;;9000;860;"";101;"";"";;"EB Gewinnvortrag";"";""
5950,00;"S";"EUR";;;;10001;8400;"";1501;"RE2025-101";"";;"Ausgangsrechnung 01/2025";"";""
4760,00;"S";"EUR";;;;10001;8400;"";1502;"RE2025-102";"";;"Ausgangsrechnung 02/2025";"";""
7140,00;"S";"EUR";;;;10003;8400;"";1503;"RE2025-103";"";;"Ausgangsrechnung 03/2025";"";""
5950,00;"S";"EUR";;;;10001;8400;"";1504;"RE2025-104";"";;"Ausgangsrechnung 04/2025";"";""
8330,00;"S";"EUR";;;;10003;8400;"";1505;"RE2025-106";"";;"Ausgangsrechnung 05/2025";"";""
5950,00;"S";"EUR";;;;10001;8400;"";1506;"RE2025-107";"";;"Ausgangsrechnung 06/2025";"";""
4165,00;"S";"EUR";;;;10001;8400;"";1507;"RE2025-108";"";;"Ausgangsrechnung 07/2025";"";""
2380,00;"S";"EUR";;;;10003;8400;"";2008;"RE2025-108";"";;"Ausgangsrechnung 08/2025";"";""
5950,00;"S";"EUR";;;;10001;8400;"";2010;"RE2025-109";"";;"Ausgangsrechnung 10/2025";"";""
3570,00;"S";"EUR";;;;10003;8400;"";510;"RE2025-110";"";;"Ausgangsrechnung 10/2025";"";""
5950,00;"S";"EUR";;;;10001;8400;"";1511;"RE2025-111";"";;"Ausgangsrechnung 11/2025";"";""
7140,00;"S";"EUR";;;;10003;8400;"";1512;"RE2025-112";"";;"Ausgangsrechnung 12/2025";"";""
11900,00;"S";"EUR";;;;10001;8400;"";3012;"RE2025-113";"";;"Ausgangsrechnung 12/2025";"";""
5950,00;"S";"EUR";;;;1200;10001;"";2501;"RE2025-101";"";;"Zahlungseingang";"";""
4760,00;"S";"EUR";;;;1200;10001;"";2502;"RE2025-102";"";;"Zahlungseingang";"";""
7140,00;"S";"EUR";;;;1200;10003;"";2503;"RE2025-103";"";;"Zahlungseingang";"";""
5950,00;"S";"EUR";;;;1200;10001;"";2504;"RE2025-104";"";;"Zahlungseingang";"";""
8330,00;"S";"EUR";;;;1200;10003;"";2505;"RE2025-106";"";;"Zahlungseingang";"";""
5950,00;"S";"EUR";;;;1200;10001;"";2506;"RE2025-107";"";;"Zahlungseingang";"";""
4165,00;"S";"EUR";;;;1200;10001;"";2507;"RE2025-108";"";;"Zahlungseingang";"";""
2380,00;"S";"EUR";;;;1200;10003;"";1509;"RE2025-108";"";;"Zahlungseingang";"";""
5950,00;"S";"EUR";;;;1200;10001;"";1511;"RE2025-109";"";;"Zahlungseingang";"";""
3570,00;"S";"EUR";;;;1200;10003;"";1511;"RE2025-110";"";;"Zahlungseingang";"";""
1500,00;"S";"EUR";;;;1200;10002;"";503;"";"";;"Zahlungseingang ungekl‰rt";"";""
2380,00;"S";"EUR";;;;3400;70001;"";1001;"ER-2201";"";;"Wareneinkauf Januar";"";""
2380,00;"S";"EUR";;;;3400;70001;"";503;"ER-2288";"";;"Wareneinkauf M‰rz";"";""
2380,00;"S";"EUR";;;;3400;70001;"";803;"ER-2288";"";;"Wareneinkauf M‰rz";"";""
500,00;"S";"EUR";;;;3400;70001;"";405;"ER-3001";"";;"Teillieferung Fr¸hjahr";"";""
700,00;"S";"EUR";;;;3400;70001;"";1005;"ER-3001";"";;"Nachlieferung Fr¸hjahr";"";""
2380,00;"S";"EUR";;;;70001;1200;"";1502;"ER-2201";"";;"Zahlung Delta";"";""
2380,00;"S";"EUR";;;;70001;1200;"";2003;"ER-2288";"";;"Zahlung Delta";"";""
2380,00;"S";"EUR";;;;70001;1200;"";2004;"";"";;"Zahlung Delta";"";""
800,00;"S";"EUR";;;;70002;1200;"";1506;"";"";;"Doppelzahlung Epsilon?";"";""
500,00;"S";"EUR";;;;70001;10001;"";1004;"";"";;"Verrechnung Gutschrift";"";""
14280,00;"S";"EUR";;;;4900;70009;"9";511;"ER-5001";"";;"Projektberatung Sonderprojekt";"";""
14280,00;"S";"EUR";;;;70009;1200;"";512;"ER-5001";"";;"Zahlung Projektberatung";"";""
6500,00;"S";"EUR";;;;4120;1200;"";2801;"";"";;"Geh‰lter 01/2025";"";""
2000,00;"S";"EUR";;;;4210;1200;"";101;"";"";;"Miete B¸ro 01/2025";"";""
178,50;"S";"EUR";;;;4530;1200;"9";501;"LEAS-01";"";;"Kfz-Leasing";"";""
6500,00;"S";"EUR";;;;4120;1200;"";2802;"";"";;"Geh‰lter 02/2025";"";""
2000,00;"S";"EUR";;;;4210;1200;"";102;"";"";;"Miete B¸ro 02/2025";"";""
178,50;"S";"EUR";;;;4530;1200;"9";502;"LEAS-02";"";;"Kfz-Leasing";"";""
6500,00;"S";"EUR";;;;4120;1200;"";2803;"";"";;"Geh‰lter 03/2025";"";""
2000,00;"S";"EUR";;;;4210;1200;"";103;"";"";;"Miete B¸ro 03/2025";"";""
178,50;"S";"EUR";;;;4530;1200;"9";503;"LEAS-03";"";;"Kfz-Leasing";"";""
6500,00;"S";"EUR";;;;4120;1200;"";2804;"";"";;"Geh‰lter 04/2025";"";""
2000,00;"S";"EUR";;;;4210;1200;"";104;"";"";;"Miete B¸ro 04/2025";"";""
